epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,83.8828,1.08348,0.56139,0.86531,0.9598,0.94452,0.96887,0.67193,1.03907,0.48074,0.87271,0.0009011,0.0009011,0.0009011
113,84.6423,1.13823,0.58812,0.84906,0.95727,0.94945,0.96839,0.66929,1.03958,0.47752,0.87123,0.0008912,0.0008912,0.0008912
114,85.4415,1.0575,0.51417,0.86376,0.96595,0.9352,0.9665,0.67603,1.00097,0.48086,0.8625,0.0008813,0.0008813,0.0008813
115,86.2096,1.08899,0.5343,0.86678,0.96401,0.94204,0.96521,0.67922,1.00756,0.48017,0.86369,0.0008714,0.0008714,0.0008714
116,87.0547,1.07904,0.5196,0.90248,0.97328,0.94286,0.96889,0.67203,1.06602,0.49372,0.87773,0.0008615,0.0008615,0.0008615
117,87.7758,1.11484,0.54547,0.86417,0.97093,0.95411,0.97649,0.67552,1.03688,0.49254,0.86874,0.0008516,0.0008516,0.0008516
118,88.4666,1.07848,0.55221,0.8636,0.96182,0.94505,0.97263,0.66227,1.02728,0.50458,0.86292,0.0008417,0.0008417,0.0008417
119,89.1449,1.09402,0.5584,0.8729,0.9623,0.94725,0.97271,0.6562,1.03593,0.50895,0.86479,0.0008318,0.0008318,0.0008318
120,89.8448,1.05505,0.51788,0.85725,0.97281,0.94365,0.97435,0.66651,1.06812,0.49482,0.87313,0.0008219,0.0008219,0.0008219
121,90.5179,0.99992,0.49424,0.85266,0.96028,0.95648,0.97769,0.67415,1.03894,0.48131,0.86886,0.000812,0.000812,0.000812
122,91.2127,0.99641,0.50071,0.84904,0.97511,0.95385,0.98004,0.68319,1.01998,0.47002,0.86406,0.0008021,0.0008021,0.0008021
123,91.9224,1.00171,0.57232,0.89683,0.97085,0.95153,0.97863,0.68631,1.01758,0.47351,0.86273,0.0007922,0.0007922,0.0007922
124,92.6323,1.01877,0.49529,0.85639,0.96469,0.96059,0.97013,0.66627,1.06985,0.49183,0.87073,0.0007823,0.0007823,0.0007823
125,93.3246,1.06337,0.52525,0.85212,0.96139,0.95385,0.97605,0.67808,1.03623,0.49062,0.864,0.0007724,0.0007724,0.0007724
126,94.0222,0.97677,0.50386,0.84713,0.97558,0.94725,0.96959,0.66637,1.04699,0.48872,0.86446,0.0007625,0.0007625,0.0007625
127,94.6971,1.03423,0.5032,0.85352,0.97949,0.94482,0.96954,0.66282,1.06623,0.48232,0.86759,0.0007526,0.0007526,0.0007526
128,95.7239,0.98699,0.4816,0.85114,0.97296,0.94908,0.97052,0.66948,1.06,0.47579,0.87482,0.0007427,0.0007427,0.0007427
129,96.4241,0.9613,0.47773,0.85352,0.9793,0.93593,0.96876,0.66819,1.05108,0.47468,0.87364,0.0007328,0.0007328,0.0007328
130,97.1372,1.02969,0.51326,0.85988,0.97489,0.93845,0.96091,0.66402,1.03955,0.47435,0.86841,0.0007229,0.0007229,0.0007229
131,97.8488,0.99807,0.50905,0.84851,0.97855,0.93846,0.96055,0.66782,1.02827,0.47098,0.86705,0.000713,0.000713,0.000713
132,98.5607,0.99295,0.50957,0.85599,0.96643,0.94914,0.97708,0.66871,1.06359,0.47583,0.87695,0.0007031,0.0007031,0.0007031
133,99.247,1.00274,0.51327,0.85625,0.96029,0.95659,0.97548,0.6732,1.05336,0.47344,0.8725,0.0006932,0.0006932,0.0006932
134,99.9594,0.98036,0.49388,0.85922,0.9719,0.94286,0.97685,0.67983,1.02187,0.46845,0.86804,0.0006833,0.0006833,0.0006833
135,100.639,1.00747,0.51903,0.84587,0.97063,0.94066,0.976,0.68029,1.02419,0.47597,0.8693,0.0006734,0.0006734,0.0006734
136,101.341,0.99031,0.49901,0.86102,0.95838,0.94725,0.97213,0.67416,1.03483,0.48351,0.87063,0.0006635,0.0006635,0.0006635
137,102.036,1.06263,0.52102,0.85304,0.96195,0.94451,0.96681,0.67145,1.03695,0.48275,0.87128,0.0006536,0.0006536,0.0006536
138,102.742,1.00145,0.48717,0.86822,0.96173,0.94505,0.97423,0.65957,1.06087,0.49364,0.87482,0.0006437,0.0006437,0.0006437
139,103.439,1.07758,0.50716,0.8741,0.9639,0.93893,0.97383,0.66988,1.0304,0.48802,0.8682,0.0006338,0.0006338,0.0006338
140,104.143,0.94754,0.50178,0.8499,0.97028,0.93264,0.97431,0.67326,1.02501,0.48198,0.86435,0.0006239,0.0006239,0.0006239
141,104.865,0.91991,0.46339,0.83645,0.95884,0.94725,0.9749,0.66991,1.03412,0.47861,0.8684,0.000614,0.000614,0.000614
142,105.565,1.1008,0.53937,0.85275,0.96116,0.95385,0.97551,0.65565,1.08862,0.47586,0.88007,0.0006041,0.0006041,0.0006041
143,106.255,1.07466,0.51272,0.86177,0.95371,0.96484,0.97606,0.66781,1.05863,0.46942,0.87389,0.0005942,0.0005942,0.0005942
144,106.988,0.97222,0.50876,0.86135,0.95407,0.95824,0.9766,0.67201,1.02295,0.46596,0.86525,0.0005843,0.0005843,0.0005843
